"REF_DATE","GEO","DGUID","Supply and disposition","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-04","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","668870.0","","","","1"
"2025-05","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","369423.0","","","","1"
"2025-06","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","177279.0","","","","1"
"2025-07","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","245668.0","","","","1"
"2025-08","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","195071.0","","","","1"
"2025-09","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","204023.0","","","","1"
"2025-10","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","392743.0","","","","1"
"2025-11","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","911225.0","","","","1"
"2025-12","Ontario","2021A000235","Residential consumption","Cubic metres","Cubic metres","72","thousands","3","v107638524","7.4.1","1362546.0","","","","1"
"2022-01","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1814522.0","","","","1"
"2022-02","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1536270.0","","","","1"
"2022-03","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1457643.0","","","","1"
"2022-04","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1000930.0","","","","1"
"2022-05","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","909755.0","","","","1"
"2022-06","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","863548.0","","","","1"
"2022-07","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1064920.0","","","","1"
"2022-08","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1209126.0","","","","1"
"2022-09","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1015477.0","","","","1"
"2022-10","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1108345.0","","","","1"
"2022-11","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1132972.0","","","","1"
"2022-12","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1505968.0","","","","1"
"2023-01","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1469122.0","","","","1"
"2023-02","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1155894.0","","","","1"
"2023-03","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1162454.0","","","","1"
"2023-04","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1054793.0","","","","1"
"2023-05","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1035408.0","","","","1"
"2023-06","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1219664.0","","","","1"
"2023-07","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1442861.0","","","","1"
"2023-08","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1318748.0","","","","1"
"2023-09","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1163307.0","","","","1"
"2023-10","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1167040.0","","","","1"
"2023-11","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1489197.0","","","","1"
"2023-12","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1637960.0","","","","1"
"2024-01","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1943255.0","","","","1"
"2024-02","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1647669.0","","","","1"
"2024-03","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1566992.0","","","","1"
"2024-04","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1201754.0","","","","1"
"2024-05","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1223751.0","","","","1"
"2024-06","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1162709.0","","","","1"
"2024-07","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1418668.0","","","","1"
"2024-08","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1435730.0","","","","1"
"2024-09","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1325202.0","","","","1"
"2024-10","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1234990.0","","","","1"
"2024-11","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1246609.0","","","","1"
"2024-12","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1684242.0","","","","1"
"2025-01","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","2024989.0","","","","1"
"2025-02","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","2056129.0","","","","1"
"2025-03","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1458117.0","","","","1"
"2025-04","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1226683.0","","","","1"
"2025-05","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1027225.0","","","","1"
"2025-06","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1143573.0","","","","1"
"2025-07","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1553695.0","","","","1"
"2025-08","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1490460.0","","","","1"
"2025-09","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1431352.0","","","","1"
"2025-10","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1568042.0","","","","1"
"2025-11","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","1737642.0","","","","1"
"2025-12","Ontario","2021A000235","Industrial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638526","7.5.1","2114561.0","","","","1"
"2022-01","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","1209572.0","","","","1"
"2022-02","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","1014127.0","","","","1"
"2022-03","Ontario","2021A000235","Commercial consumption","Cubic metres","Cubic metres","72","thousands","3","v107638528","7.6.1","741643.0","","","","1"
